# This is the default dungeon data file.

# --------------------------------------------------------------------------
# These are the user-defined door types.  Note that there are a few "special"
# values that are predefined:
#
#    - TRAPPED - indicates there is a trap of some sort on the door
#    - REROLL1 - add the indicated value and reroll ONCE on the same table
# --------------------------------------------------------------------------

[doortypes]
WOODEN         wooden
STONE,STUCK,TRAPPED,BEHINDTAPESTRY
STONE,LOCKED,BEHINDTAPESTRY
STONE,LOCKED,TRAPPED,BEHINDTAPESTRY
IRON,FREE,BEHINDTAPESTRY
IRON,FREE,TRAPPED,BEHINDTAPESTRY
IRON,STUCK,BEHINDTAPESTRY
IRON,LOCKED,BEHINDTAPESTRY
IRON,LOCKED,TRAPPED,BEHINDTAPESTRY
WOODEN,SIMPLE,FREE,BEHINDRUBBISH
WOODEN,SIMPLE,FREE,TRAPPED,BEHINDRUBBISH
WOODEN,SIMPLE,STUCK,BEHINDRUBBISH
WOODEN,SIMPLE,STUCK,TRAPPED,BEHINDRUBBISH
WOODEN,SIMPLE,LOCKED,BEHINDRUBBISH
WOODEN,SIMPLE,LOCKED,TRAPPED,BEHINDRUBBISH
WOODEN,GOOD,FREE,BEHINDRUBBISH
WOODEN,GOOD,FREE,TRAPPED,BEHINDRUBBISH
WOODEN,GOOD,STUCK,BEHINDRUBBISH
WOODEN,GOOD,STUCK,TRAPPED,BEHINDRUBBISH
WOODEN,GOOD,LOCKED,BEHINDRUBBISH
WOODEN,GOOD,LOCKED,TRAPPED,BEHINDRUBBISH
WOODEN,STRONG,FREE,BEHINDRUBBISH
WOODEN,STRONG,FREE,TRAPPED,BEHINDRUBBISH
WOODEN,STRONG,STUCK,BEHINDRUBBISH
WOODEN,STRONG,STUCK,TRAPPED,BEHINDRUBBISH
WOODEN,STRONG,LOCKED,BEHINDRUBBISH
WOODEN,STRONG,LOCKED,TRAPPED,BEHINDRUBBISH
STONE,FREE,BEHINDRUBBISH
STONE,FREE,TRAPPED,BEHINDRUBBISH
STONE,STUCK,BEHINDRUBBISH
STONE,STUCK,TRAPPED,BEHINDRUBBISH
STONE,LOCKED,BEHINDRUBBISH
STONE,LOCKED,TRAPPED,BEHINDRUBBISH
IRON,FREE,BEHINDRUBBISH
IRON,FREE,TRAPPED,BEHINDRUBBISH
IRON,STUCK,BEHINDRUBBISH
IRON,LOCKED,BEHINDRUBBISH
IRON,LOCKED,TRAPPED,BEHINDRUBBISH
FALSEWALL,FREE
FALSEWALL,FREE,TRAPPED
FALSEWALL,STUCK
FALSEWALL,STUCK,TRAPPED
FALSEWALL,LOCKED
FALSEWALL,LOCKED,TRAPPED
